No,hour_A,PM2.5_A,PM10_A,SO2_A,NO2_A,CO_A,O3_A,TEMP_A,station_A,hour_C,PM2.5_C,PM10_C,SO2_C,NO2_C,CO_C,O3_C,TEMP_C,station_C,Date
29009,16,79.0,79.0,4.0,12.0,800.0,245.0,33.8,Aotizhongxin,16,68.0,82.0,2.0,17.0,600.0,218.0,34.1,Changping,2016-06-21
29010,17,116.0,167.0,3.0,17.0,1000.0,266.0,34.4,Aotizhongxin,17,58.0,82.0,2.0,16.0,500.0,186.0,33.5,Changping,2016-06-21
29011,18,111.0,111.0,3.0,17.0,900.0,265.0,33.4,Aotizhongxin,18,69.0,107.0,2.0,25.0,600.0,178.0,32.9,Changping,2016-06-21
29012,19,104.0,104.0,3.0,21.0,900.0,248.0,33.0,Aotizhongxin,19,60.0,158.0,2.0,20.0,400.0,153.0,23.2,Changping,2016-06-21
29013,20,33.0,33.0,2.0,17.0,400.0,157.0,27.9,Aotizhongxin,20,25.0,25.0,2.0,15.0,300.0,90.0,23.1,Changping,2016-06-21
29014,21,31.0,31.0,2.0,29.0,400.0,113.0,28.2,Aotizhongxin,21,20.0,27.0,2.0,21.0,300.0,78.0,22.2,Changping,2016-06-21
29015,22,33.0,119.0,2.0,26.0,500.0,119.0,24.1,Aotizhongxin,22,31.0,50.0,2.0,16.0,300.0,80.0,23.0,Changping,2016-06-21
29016,23,44.0,69.0,2.0,26.0,600.0,118.0,24.2,Aotizhongxin,23,34.0,37.0,2.0,14.0,400.0,113.0,22.9,Changping,2016-06-21
29017,0,45.0,45.0,2.0,26.0,600.0,105.0,23.8,Aotizhongxin,0,33.0,42.0,2.0,35.0,500.0,79.0,21.9,Changping,2016-06-22
29018,1,35.0,35.0,2.0,21.0,600.0,109.0,23.0,Aotizhongxin,1,38.0,39.0,2.0,26.0,400.0,57.0,23.0,Changping,2016-06-22
29019,2,33.0,33.0,2.0,14.0,500.0,127.0,22.8,Aotizhongxin,2,31.0,31.0,13.0,13.0,200.0,27.0,21.9,Changping,2016-06-22
29020,3,27.0,27.0,2.0,17.0,400.0,115.0,22.5,Aotizhongxin,3,31.0,31.0,2.0,11.0,400.0,37.0,22.2,Changping,2016-06-22
29022,5,34.0,34.0,2.0,18.0,500.0,86.0,21.9,Aotizhongxin,5,36.0,36.0,2.0,37.0,500.0,26.0,22.3,Changping,2016-06-22
29023,6,37.0,37.0,2.0,22.0,500.0,87.0,22.4,Aotizhongxin,6,41.0,42.0,2.0,48.0,600.0,22.0,22.3,Changping,2016-06-22
29024,7,30.0,30.0,2.0,20.0,500.0,96.0,23.7,Aotizhongxin,7,50.0,51.0,2.0,74.0,700.0,19.0,23.6,Changping,2016-06-22
29025,8,27.0,27.0,2.0,26.0,500.0,88.0,24.8,Aotizhongxin,8,49.0,52.0,2.0,33.0,700.0,72.0,24.7,Changping,2016-06-22
29026,9,30.0,40.0,2.0,31.0,600.0,81.0,26.0,Aotizhongxin,9,47.0,61.0,2.0,41.0,700.0,57.0,26.4,Changping,2016-06-22
29027,10,37.0,58.0,2.0,30.0,700.0,98.0,27.4,Aotizhongxin,10,30.0,30.0,2.0,21.0,600.0,97.0,27.6,Changping,2016-06-22
29028,11,49.0,69.0,3.0,28.0,800.0,123.0,29.0,Aotizhongxin,11,59.0,59.0,2.0,17.0,600.0,126.0,28.8,Changping,2016-06-22
29029,12,61.0,74.0,3.0,31.0,800.0,154.0,30.5,Aotizhongxin,12,64.0,71.0,2.0,16.0,700.0,155.0,29.7,Changping,2016-06-22
29030,13,81.0,81.0,3.0,28.0,800.0,201.0,31.5,Aotizhongxin,13,70.0,78.0,2.0,18.0,700.0,189.0,30.7,Changping,2016-06-22
29031,14,82.0,103.0,4.0,19.0,700.0,260.0,31.8,Aotizhongxin,14,67.0,86.0,2.0,21.0,800.0,228.0,32.0,Changping,2016-06-22
29032,15,76.0,81.0,4.0,18.0,700.0,253.0,32.9,Aotizhongxin,15,85.0,103.0,2.0,28.0,900.0,272.0,32.8,Changping,2016-06-22
29033,16,70.0,87.0,3.0,15.0,700.0,252.0,32.7,Aotizhongxin,16,82.0,114.0,2.0,25.0,900.0,273.0,33.1,Changping,2016-06-22
29034,17,65.0,81.0,3.0,16.0,700.0,251.0,32.7,Aotizhongxin,17,73.0,123.0,2.0,19.0,800.0,237.0,32.2,Changping,2016-06-22
29035,18,75.0,80.0,3.0,19.0,700.0,250.0,32.0,Aotizhongxin,18,77.0,143.0,2.0,26.0,900.0,199.0,32.1,Changping,2016-06-22
29036,19,55.0,55.0,3.0,21.0,600.0,191.0,32.1,Aotizhongxin,19,73.0,97.0,2.0,29.0,800.0,187.0,31.4,Changping,2016-06-22
29037,20,39.0,39.0,2.0,24.0,600.0,149.0,30.8,Aotizhongxin,20,44.0,44.0,2.0,27.0,700.0,145.0,30.8,Changping,2016-06-22
29038,21,44.0,44.0,2.0,36.0,900.0,112.0,29.0,Aotizhongxin,21,48.0,84.0,2.0,29.0,700.0,123.0,29.0,Changping,2016-06-22
29039,22,81.0,296.0,3.0,56.0,1200.0,97.0,29.2,Aotizhongxin,22,64.0,122.0,2.0,33.0,800.0,113.0,28.8,Changping,2016-06-22
29040,23,102.0,102.0,4.0,30.0,1100.0,145.0,29.2,Aotizhongxin,23,129.0,173.0,2.0,36.0,1300.0,126.0,27.7,Changping,2016-06-22
29041,0,50.0,50.0,5.0,19.0,500.0,128.0,26.5,Aotizhongxin,0,127.0,127.0,2.0,23.0,1200.0,128.0,27.0,Changping,2016-06-23
29042,1,41.0,64.0,5.0,20.0,500.0,105.0,26.4,Aotizhongxin,1,111.0,111.0,2.0,21.0,1100.0,118.0,26.7,Changping,2016-06-23
29043,2,68.0,177.0,3.0,46.0,800.0,50.0,26.9,Aotizhongxin,2,123.0,123.0,2.0,84.0,1100.0,49.0,26.3,Changping,2016-06-23
29044,3,85.0,85.0,3.0,43.0,800.0,44.0,26.7,Aotizhongxin,3,107.0,107.0,2.0,92.0,1000.0,21.0,25.9,Changping,2016-06-23
29045,4,79.0,175.0,2.0,58.0,1000.0,15.0,25.4,Aotizhongxin,4,119.0,119.0,2.0,33.0,1000.0,60.0,25.5,Changping,2016-06-23
29046,5,130.0,151.0,3.0,39.0,1000.0,35.0,24.8,Aotizhongxin,5,125.0,125.0,2.0,20.0,1100.0,84.0,25.2,Changping,2016-06-23
29047,6,137.0,137.0,3.0,29.0,1000.0,55.0,25.1,Aotizhongxin,6,141.0,141.0,2.0,75.0,1200.0,32.0,25.0,Changping,2016-06-23
29048,7,129.0,129.0,3.0,36.0,1100.0,51.0,25.9,Aotizhongxin,7,117.0,117.0,2.0,94.0,1100.0,13.0,25.8,Changping,2016-06-23
29049,8,123.0,123.0,3.0,43.0,1100.0,59.0,26.4,Aotizhongxin,8,34.0,34.0,2.0,30.0,1000.0,59.0,27.4,Changping,2016-06-23
29050,9,92.0,92.0,3.0,33.0,900.0,81.0,26.8,Aotizhongxin,9,39.0,92.0,2.0,33.0,700.0,50.0,27.3,Changping,2016-06-23
29051,10,39.0,39.0,4.0,35.0,600.0,66.0,27.2,Aotizhongxin,10,51.0,66.0,2.0,37.0,1000.0,49.0,28.1,Changping,2016-06-23
29052,11,35.0,83.0,4.0,35.0,600.0,68.0,27.3,Aotizhongxin,11,19.0,19.0,5.0,29.0,800.0,45.0,29.5,Changping,2016-06-23
29053,12,88.0,199.0,5.0,28.0,1100.0,104.0,27.8,Aotizhongxin,12,27.0,90.0,6.0,30.0,700.0,71.0,30.6,Changping,2016-06-23
29054,13,130.0,130.0,12.0,25.0,1900.0,131.0,28.2,Aotizhongxin,13,34.0,38.0,2.0,19.0,500.0,113.0,30.1,Changping,2016-06-23
29055,14,97.0,97.0,14.0,26.0,1900.0,146.0,29.5,Aotizhongxin,14,37.0,37.0,2.0,24.0,600.0,129.0,32.2,Changping,2016-06-23
29056,15,78.0,78.0,14.0,25.0,1700.0,172.0,30.4,Aotizhongxin,15,27.0,27.0,3.0,17.0,500.0,124.0,32.3,Changping,2016-06-23
29062,21,82.0,82.0,4.0,23.0,700.0,186.0,26.6,Aotizhongxin,21,58.0,89.0,2.0,33.0,1600.0,139.0,27.1,Changping,2016-06-23
29063,22,45.0,45.0,2.0,22.0,700.0,115.0,22.9,Aotizhongxin,22,44.0,73.0,2.0,26.0,1200.0,116.0,25.9,Changping,2016-06-23
29064,23,44.0,59.0,2.0,28.0,800.0,89.0,23.7,Aotizhongxin,23,20.0,30.0,2.0,17.0,700.0,90.0,24.7,Changping,2016-06-23
29065,0,40.0,59.0,2.0,36.0,800.0,65.0,23.5,Aotizhongxin,0,17.0,32.0,2.0,33.0,700.0,60.0,22.7,Changping,2016-06-24
29066,1,42.0,43.0,2.0,48.0,800.0,30.0,21.6,Aotizhongxin,1,15.0,32.0,2.0,83.0,600.0,2.0,21.8,Changping,2016-06-24
29067,2,41.0,48.0,2.0,69.0,900.0,2.0,21.1,Aotizhongxin,2,8.0,8.0,20.0,12.0,200.0,31.0,23.0,Changping,2016-06-24
29068,3,37.0,37.0,2.0,71.0,900.0,2.0,20.4,Aotizhongxin,3,4.0,5.0,2.0,9.0,200.0,41.0,23.0,Changping,2016-06-24
29070,5,18.0,18.0,2.0,52.0,500.0,5.0,18.4,Aotizhongxin,5,3.0,10.0,2.0,12.0,200.0,47.0,23.2,Changping,2016-06-24
29071,6,7.0,7.0,2.0,41.0,300.0,21.0,21.5,Aotizhongxin,6,5.0,13.0,2.0,16.0,300.0,58.0,23.4,Changping,2016-06-24
29072,7,5.0,5.0,2.0,27.0,300.0,41.0,25.4,Aotizhongxin,7,7.0,20.0,2.0,22.0,300.0,53.0,25.3,Changping,2016-06-24
29073,8,11.0,29.0,2.0,28.0,300.0,41.0,27.1,Aotizhongxin,8,4.0,16.0,2.0,22.0,400.0,52.0,27.7,Changping,2016-06-24
29074,9,6.0,6.0,2.0,20.0,300.0,58.0,28.7,Aotizhongxin,9,9.0,22.0,3.0,19.0,400.0,55.0,29.8,Changping,2016-06-24
29075,10,7.0,7.0,2.0,13.0,200.0,76.0,30.2,Aotizhongxin,10,4.0,5.0,2.0,15.0,400.0,62.0,30.7,Changping,2016-06-24
29076,11,13.0,13.0,2.0,10.0,300.0,86.0,31.4,Aotizhongxin,11,13.0,13.0,2.0,15.0,400.0,68.0,31.5,Changping,2016-06-24
29077,12,9.0,9.0,2.0,10.0,300.0,97.0,31.8,Aotizhongxin,12,8.0,8.0,2.0,17.0,400.0,75.0,32.4,Changping,2016-06-24
29078,13,6.0,9.0,2.0,10.0,200.0,104.0,32.9,Aotizhongxin,13,7.0,20.0,2.0,15.0,400.0,79.0,32.7,Changping,2016-06-24
29080,15,10.0,14.0,2.0,11.0,200.0,103.0,34.0,Aotizhongxin,15,6.0,6.0,2.0,13.0,400.0,75.0,33.3,Changping,2016-06-24
29081,16,10.0,36.0,2.0,11.0,100.0,97.0,32.1,Aotizhongxin,16,5.0,60.0,2.0,15.0,400.0,73.0,32.6,Changping,2016-06-24
29082,17,15.0,25.0,2.0,20.0,300.0,80.0,32.7,Aotizhongxin,17,3.0,5.0,2.0,12.0,400.0,71.0,33.0,Changping,2016-06-24
29083,18,7.0,7.0,2.0,15.0,200.0,84.0,32.7,Aotizhongxin,18,3.0,12.0,2.0,13.0,400.0,73.0,32.2,Changping,2016-06-24
29084,19,5.0,5.0,2.0,17.0,200.0,86.0,31.6,Aotizhongxin,19,8.0,56.0,2.0,11.0,400.0,81.0,30.1,Changping,2016-06-24
29085,20,11.0,21.0,2.0,17.0,200.0,89.0,29.4,Aotizhongxin,20,4.0,25.0,2.0,12.0,400.0,86.0,28.6,Changping,2016-06-24
29086,21,13.0,27.0,2.0,16.0,200.0,94.0,28.0,Aotizhongxin,21,9.0,22.0,2.0,13.0,400.0,86.0,27.4,Changping,2016-06-24
29087,22,11.0,23.0,2.0,17.0,200.0,88.0,27.7,Aotizhongxin,22,7.0,22.0,2.0,16.0,500.0,79.0,26.7,Changping,2016-06-24
29088,23,7.0,19.0,2.0,22.0,200.0,78.0,27.0,Aotizhongxin,23,4.0,5.0,2.0,15.0,500.0,77.0,25.8,Changping,2016-06-24
29089,0,9.0,17.0,2.0,23.0,200.0,71.0,26.7,Aotizhongxin,0,5.0,5.0,2.0,14.0,500.0,76.0,24.9,Changping,2016-06-25
29090,1,7.0,15.0,2.0,32.0,200.0,53.0,25.9,Aotizhongxin,1,5.0,5.0,2.0,12.0,500.0,73.0,25.3,Changping,2016-06-25
29091,2,11.0,19.0,2.0,35.0,200.0,45.0,25.8,Aotizhongxin,2,4.0,6.0,2.0,13.0,500.0,69.0,24.3,Changping,2016-06-25
29092,3,7.0,11.0,2.0,33.0,200.0,45.0,25.9,Aotizhongxin,3,3.0,12.0,2.0,17.0,500.0,63.0,25.4,Changping,2016-06-25
29093,4,7.0,15.0,3.0,40.0,300.0,31.0,25.2,Aotizhongxin,4,7.0,18.0,3.0,19.0,500.0,62.0,26.0,Changping,2016-06-25
29094,5,11.0,21.0,3.0,45.0,300.0,22.0,22.8,Aotizhongxin,5,10.0,14.0,4.0,18.0,600.0,62.0,25.4,Changping,2016-06-25
29095,6,13.0,30.0,3.0,31.0,300.0,40.0,22.2,Aotizhongxin,6,8.0,25.0,4.0,22.0,600.0,59.0,25.7,Changping,2016-06-25
29096,7,7.0,30.0,3.0,26.0,300.0,47.0,25.0,Aotizhongxin,7,9.0,34.0,3.0,32.0,600.0,47.0,27.4,Changping,2016-06-25
29097,8,8.0,33.0,3.0,23.0,300.0,56.0,29.0,Aotizhongxin,8,10.0,24.0,3.0,35.0,600.0,44.0,29.7,Changping,2016-06-25
29099,10,9.0,17.0,2.0,13.0,300.0,87.0,32.3,Aotizhongxin,10,9.0,19.0,2.0,14.0,600.0,71.0,32.5,Changping,2016-06-25
29100,11,16.0,20.0,2.0,12.0,300.0,98.0,33.9,Aotizhongxin,11,8.0,20.0,2.0,14.0,600.0,75.0,34.4,Changping,2016-06-25
29101,12,18.0,18.0,2.0,12.0,400.0,107.0,34.4,Aotizhongxin,12,13.0,20.0,2.0,13.0,500.0,78.0,35.3,Changping,2016-06-25
29102,13,16.0,16.0,2.0,11.0,300.0,107.0,35.6,Aotizhongxin,13,15.0,19.0,2.0,16.0,500.0,88.0,36.0,Changping,2016-06-25
29103,14,20.0,20.0,2.0,10.0,200.0,112.0,37.0,Aotizhongxin,14,11.0,25.0,2.0,17.0,500.0,95.0,37.2,Changping,2016-06-25
29104,15,26.0,26.0,2.0,10.0,200.0,117.0,37.3,Aotizhongxin,15,12.0,30.0,2.0,16.0,500.0,101.0,37.4,Changping,2016-06-25
29105,16,22.0,22.0,2.0,11.0,200.0,121.0,37.3,Aotizhongxin,16,20.0,34.0,2.0,17.0,500.0,105.0,38.0,Changping,2016-06-25
29106,17,22.0,26.0,2.0,14.0,200.0,121.0,37.1,Aotizhongxin,17,22.0,37.0,2.0,17.0,500.0,107.0,38.1,Changping,2016-06-25
29107,18,23.0,24.0,2.0,19.0,300.0,117.0,34.7,Aotizhongxin,18,26.0,83.0,2.0,24.0,600.0,156.0,34.8,Changping,2016-06-25
29108,19,20.0,74.0,2.0,31.0,300.0,122.0,33.8,Aotizhongxin,19,28.0,71.0,2.0,24.0,600.0,138.0,33.7,Changping,2016-06-25
29109,20,24.0,24.0,2.0,30.0,400.0,121.0,32.5,Aotizhongxin,20,28.0,68.0,2.0,30.0,600.0,122.0,31.9,Changping,2016-06-25
29110,21,24.0,51.0,2.0,42.0,500.0,86.0,31.4,Aotizhongxin,21,31.0,61.0,2.0,28.0,600.0,102.0,30.7,Changping,2016-06-25
29111,22,29.0,61.0,2.0,45.0,500.0,71.0,31.9,Aotizhongxin,22,27.0,46.0,2.0,26.0,600.0,102.0,28.5,Changping,2016-06-25
29112,23,32.0,68.0,2.0,55.0,500.0,49.0,29.8,Aotizhongxin,23,24.0,35.0,2.0,27.0,600.0,90.0,27.0,Changping,2016-06-25
29113,0,41.0,119.0,3.0,61.0,500.0,37.0,27.3,Aotizhongxin,0,28.0,38.0,2.0,28.0,600.0,79.0,25.6,Changping,2016-06-26
29114,1,50.0,122.0,3.0,84.0,600.0,2.0,24.9,Aotizhongxin,1,26.0,59.0,2.0,74.0,1400.0,23.0,24.5,Changping,2016-06-26
29115,2,50.0,85.0,4.0,71.0,600.0,6.0,23.1,Aotizhongxin,2,21.0,32.0,19.0,18.0,400.0,47.0,24.8,Changping,2016-06-26
29116,3,47.0,92.0,3.0,68.0,600.0,2.0,22.4,Aotizhongxin,3,24.0,41.0,2.0,31.0,500.0,37.0,24.2,Changping,2016-06-26
29118,5,38.0,49.0,2.0,41.0,400.0,19.0,21.9,Aotizhongxin,5,27.0,34.0,2.0,29.0,500.0,49.0,21.9,Changping,2016-06-26
29119,6,37.0,37.0,2.0,34.0,500.0,45.0,23.5,Aotizhongxin,6,26.0,52.0,2.0,33.0,700.0,60.0,22.1,Changping,2016-06-26
29120,7,36.0,53.0,2.0,36.0,500.0,45.0,25.7,Aotizhongxin,7,21.0,69.0,2.0,39.0,700.0,38.0,26.2,Changping,2016-06-26
29121,8,38.0,42.0,3.0,32.0,400.0,56.0,27.2,Aotizhongxin,8,35.0,69.0,2.0,55.0,700.0,28.0,27.8,Changping,2016-06-26
29122,9,34.0,68.0,3.0,26.0,400.0,83.0,29.7,Aotizhongxin,9,33.0,75.0,2.0,61.0,700.0,48.0,30.3,Changping,2016-06-26
29123,10,35.0,45.0,3.0,24.0,500.0,118.0,31.9,Aotizhongxin,10,31.0,88.0,3.0,84.0,700.0,45.0,31.6,Changping,2016-06-26
29124,11,35.0,47.0,3.0,24.0,500.0,152.0,33.0,Aotizhongxin,11,45.0,81.0,3.0,45.0,600.0,130.0,32.8,Changping,2016-06-26
29125,12,45.0,45.0,4.0,25.0,500.0,203.0,34.1,Aotizhongxin,12,37.0,63.0,2.0,24.0,600.0,190.0,34.3,Changping,2016-06-26
29126,13,45.0,45.0,6.0,27.0,500.0,249.0,36.0,Aotizhongxin,13,37.0,67.0,2.0,21.0,500.0,215.0,34.8,Changping,2016-06-26
29127,14,32.0,32.0,3.0,16.0,300.0,220.0,36.9,Aotizhongxin,14,40.0,70.0,2.0,26.0,600.0,273.0,36.3,Changping,2016-06-26
29128,15,35.0,35.0,3.0,14.0,200.0,184.0,36.0,Aotizhongxin,15,27.0,54.0,2.0,20.0,500.0,221.0,37.0,Changping,2016-06-26
29129,16,30.0,77.0,5.0,16.0,300.0,196.0,35.7,Aotizhongxin,16,30.0,103.0,2.0,18.0,500.0,179.0,36.4,Changping,2016-06-26
29130,17,41.0,63.0,5.0,16.0,300.0,188.0,35.5,Aotizhongxin,17,25.0,94.0,2.0,18.0,500.0,186.0,35.3,Changping,2016-06-26
29134,21,46.0,88.0,10.0,34.0,600.0,139.0,32.3,Aotizhongxin,21,45.0,93.0,9.0,36.0,700.0,154.0,31.7,Changping,2016-06-26
29135,22,37.0,64.0,8.0,31.0,500.0,134.0,31.7,Aotizhongxin,22,40.0,100.0,10.0,45.0,800.0,137.0,31.3,Changping,2016-06-26
29136,23,40.0,75.0,9.0,31.0,500.0,115.0,31.1,Aotizhongxin,23,44.0,99.0,7.0,49.0,800.0,109.0,31.0,Changping,2016-06-26
29137,0,40.0,72.0,8.0,28.0,400.0,119.0,30.5,Aotizhongxin,0,45.0,102.0,5.0,58.0,800.0,77.0,29.8,Changping,2016-06-27
29138,1,43.0,70.0,9.0,21.0,400.0,139.0,29.8,Aotizhongxin,1,45.0,87.0,4.0,52.0,700.0,85.0,27.8,Changping,2016-06-27
29139,2,45.0,84.0,11.0,20.0,400.0,141.0,29.0,Aotizhongxin,2,32.0,94.0,6.0,49.0,600.0,77.0,26.6,Changping,2016-06-27
29140,3,49.0,86.0,12.0,21.0,500.0,140.0,28.5,Aotizhongxin,3,40.0,84.0,4.0,46.0,700.0,56.0,25.5,Changping,2016-06-27
29141,4,54.0,78.0,13.0,26.0,500.0,125.0,27.4,Aotizhongxin,4,37.0,86.0,3.0,41.0,700.0,57.0,25.2,Changping,2016-06-27
29142,5,57.0,85.0,12.0,27.0,600.0,115.0,26.8,Aotizhongxin,5,36.0,87.0,4.0,39.0,700.0,58.0,25.3,Changping,2016-06-27
29143,6,59.0,108.0,11.0,29.0,600.0,107.0,26.5,Aotizhongxin,6,40.0,87.0,3.0,57.0,700.0,47.0,24.7,Changping,2016-06-27
29144,7,69.0,107.0,12.0,36.0,700.0,87.0,27.7,Aotizhongxin,7,44.0,115.0,5.0,75.0,800.0,35.0,25.2,Changping,2016-06-27
29145,8,69.0,123.0,8.0,58.0,900.0,33.0,26.3,Aotizhongxin,8,39.0,119.0,2.0,68.0,800.0,51.0,23.7,Changping,2016-06-27
29146,9,45.0,100.0,3.0,40.0,800.0,68.0,23.7,Aotizhongxin,9,37.0,43.0,2.0,37.0,700.0,82.0,24.2,Changping,2016-06-27
29147,10,51.0,51.0,3.0,40.0,700.0,70.0,23.6,Aotizhongxin,10,34.0,34.0,2.0,26.0,500.0,112.0,27.0,Changping,2016-06-27
29148,11,58.0,64.0,6.0,42.0,800.0,95.0,26.4,Aotizhongxin,11,27.0,30.0,3.0,19.0,300.0,141.0,29.4,Changping,2016-06-27
29149,12,58.0,58.0,9.0,31.0,800.0,145.0,30.0,Aotizhongxin,12,31.0,37.0,3.0,20.0,300.0,174.0,29.2,Changping,2016-06-27
29150,13,64.0,66.0,10.0,22.0,700.0,200.0,29.5,Aotizhongxin,13,33.0,57.0,5.0,20.0,400.0,195.0,30.0,Changping,2016-06-27
29151,14,68.0,95.0,11.0,21.0,700.0,199.0,28.9,Aotizhongxin,14,52.0,79.0,6.0,25.0,500.0,232.0,29.6,Changping,2016-06-27
29152,15,80.0,157.0,8.0,24.0,700.0,176.0,27.6,Aotizhongxin,15,58.0,136.0,5.0,32.0,500.0,203.0,25.3,Changping,2016-06-27
29153,16,65.0,113.0,2.0,31.0,800.0,128.0,25.0,Aotizhongxin,16,74.0,131.0,2.0,38.0,600.0,118.0,23.1,Changping,2016-06-27
29154,17,69.0,69.0,3.0,37.0,800.0,134.0,25.8,Aotizhongxin,17,69.0,69.0,2.0,35.0,600.0,112.0,24.1,Changping,2016-06-27
29155,18,83.0,83.0,3.0,42.0,900.0,135.0,26.3,Aotizhongxin,18,64.0,73.0,2.0,28.0,500.0,157.0,24.6,Changping,2016-06-27
29156,19,75.0,75.0,3.0,39.0,900.0,134.0,25.8,Aotizhongxin,19,64.0,72.0,2.0,27.0,500.0,131.0,24.3,Changping,2016-06-27
29157,20,55.0,55.0,3.0,24.0,600.0,141.0,25.0,Aotizhongxin,20,62.0,72.0,2.0,29.0,500.0,118.0,24.4,Changping,2016-06-27
29158,21,42.0,87.0,2.0,16.0,500.0,157.0,22.8,Aotizhongxin,21,74.0,112.0,2.0,33.0,500.0,103.0,22.9,Changping,2016-06-27
29159,22,44.0,44.0,2.0,22.0,600.0,142.0,22.3,Aotizhongxin,22,57.0,57.0,2.0,28.0,300.0,111.0,22.0,Changping,2016-06-27
29160,23,49.0,49.0,2.0,30.0,600.0,116.0,21.7,Aotizhongxin,23,49.0,49.0,2.0,24.0,300.0,98.0,21.7,Changping,2016-06-27
29161,0,56.0,56.0,2.0,29.0,500.0,97.0,21.5,Aotizhongxin,0,49.0,49.0,2.0,19.0,300.0,91.0,21.5,Changping,2016-06-28
29162,1,67.0,67.0,2.0,37.0,500.0,66.0,21.2,Aotizhongxin,1,47.0,47.0,2.0,10.0,1200.0,75.0,20.8,Changping,2016-06-28
29163,2,73.0,80.0,2.0,25.0,500.0,75.0,20.8,Aotizhongxin,2,69.0,69.0,19.0,25.0,100.0,27.0,19.8,Changping,2016-06-28
29164,3,66.0,66.0,2.0,18.0,500.0,92.0,20.1,Aotizhongxin,3,36.0,36.0,2.0,6.0,200.0,58.0,19.2,Changping,2016-06-28
29166,5,73.0,73.0,2.0,16.0,500.0,88.0,19.9,Aotizhongxin,5,54.0,54.0,2.0,16.0,200.0,62.0,19.0,Changping,2016-06-28
29167,6,59.0,59.0,2.0,16.0,600.0,82.0,19.2,Aotizhongxin,6,30.0,34.0,2.0,12.0,200.0,94.0,19.5,Changping,2016-06-28
29168,7,50.0,50.0,2.0,19.0,600.0,92.0,18.9,Aotizhongxin,7,47.0,47.0,2.0,17.0,300.0,88.0,19.7,Changping,2016-06-28
29169,8,21.0,21.0,2.0,17.0,500.0,107.0,20.8,Aotizhongxin,8,56.0,56.0,2.0,31.0,300.0,62.0,20.3,Changping,2016-06-28
29170,9,19.0,27.0,2.0,19.0,600.0,105.0,21.1,Aotizhongxin,9,55.0,55.0,2.0,31.0,300.0,77.0,21.1,Changping,2016-06-28
29171,10,23.0,23.0,2.0,26.0,600.0,92.0,21.7,Aotizhongxin,10,42.0,42.0,2.0,27.0,300.0,82.0,20.9,Changping,2016-06-28
29172,11,40.0,40.0,2.0,24.0,700.0,92.0,21.9,Aotizhongxin,11,36.0,36.0,2.0,33.0,300.0,73.0,20.9,Changping,2016-06-28
29173,12,53.0,53.0,2.0,23.0,700.0,95.0,22.1,Aotizhongxin,12,34.0,34.0,2.0,32.0,300.0,72.0,21.0,Changping,2016-06-28
29174,13,65.0,65.0,2.0,24.0,800.0,92.0,22.1,Aotizhongxin,13,42.0,42.0,2.0,36.0,300.0,67.0,20.7,Changping,2016-06-28
29175,14,67.0,67.0,2.0,26.0,800.0,89.0,21.5,Aotizhongxin,14,45.0,45.0,2.0,35.0,400.0,70.0,20.1,Changping,2016-06-28
29176,15,76.0,76.0,2.0,26.0,900.0,91.0,21.3,Aotizhongxin,15,51.0,51.0,2.0,34.0,400.0,64.0,20.4,Changping,2016-06-28
29177,16,80.0,80.0,2.0,22.0,800.0,99.0,21.7,Aotizhongxin,16,58.0,58.0,2.0,33.0,500.0,56.0,20.4,Changping,2016-06-28
29178,17,96.0,96.0,2.0,26.0,900.0,90.0,22.1,Aotizhongxin,17,63.0,63.0,2.0,34.0,500.0,62.0,21.0,Changping,2016-06-28
29179,18,105.0,105.0,2.0,25.0,900.0,86.0,22.1,Aotizhongxin,18,62.0,62.0,2.0,33.0,500.0,63.0,20.9,Changping,2016-06-28
29180,19,114.0,114.0,2.0,25.0,900.0,80.0,21.8,Aotizhongxin,19,65.0,65.0,2.0,38.0,500.0,55.0,20.8,Changping,2016-06-28
29181,20,122.0,122.0,2.0,33.0,1000.0,72.0,21.9,Aotizhongxin,20,79.0,79.0,2.0,39.0,500.0,48.0,20.9,Changping,2016-06-28
29182,21,128.0,128.0,2.0,30.0,1000.0,70.0,21.2,Aotizhongxin,21,83.0,83.0,2.0,38.0,600.0,39.0,20.6,Changping,2016-06-28
29183,22,128.0,128.0,2.0,30.0,1100.0,59.0,21.1,Aotizhongxin,22,87.0,87.0,2.0,36.0,500.0,28.0,20.5,Changping,2016-06-28
29184,23,128.0,128.0,2.0,33.0,1100.0,45.0,20.9,Aotizhongxin,23,85.0,85.0,2.0,34.0,500.0,30.0,20.5,Changping,2016-06-28
29185,0,132.0,132.0,2.0,42.0,1100.0,19.0,21.0,Aotizhongxin,0,84.0,84.0,2.0,28.0,500.0,37.0,20.5,Changping,2016-06-29
29186,1,97.0,97.0,2.0,28.0,1000.0,50.0,21.0,Aotizhongxin,1,83.0,83.0,2.0,23.0,600.0,37.0,20.6,Changping,2016-06-29
29187,2,99.0,99.0,2.0,25.0,900.0,45.0,21.0,Aotizhongxin,2,89.0,89.0,2.0,23.0,600.0,27.0,20.5,Changping,2016-06-29
29188,3,98.0,98.0,2.0,30.0,800.0,25.0,21.1,Aotizhongxin,3,90.0,90.0,2.0,17.0,500.0,33.0,20.6,Changping,2016-06-29
